Track Name;Artist;YouTube Link
TELEKINESIS (feat. SZA & Future);Travis Scott;https://www.youtube.com/watch?v=xl5LunV-OkU
Say Yes To Heaven;Lana Del Rey;https://www.youtube.com/watch?v=MiAoetOXKcY
Nobody Gets Me;SZA;https://www.youtube.com/watch?v=NNd_ufPG3x4
All Of The Girls You Loved Before;Taylor Swift;https://www.youtube.com/watch?v=HO-31CVnLes
Forget Me;Lewis Capaldi;https://www.youtube.com/watch?v=nBZlrbrBO1I
Single Soon;Selena Gomez;https://www.youtube.com/watch?v=yOuqn4w1ozA
Strangers;Kenya Grace;https://www.youtube.com/watch?v=S2TaAcwC_zI
Standing Next to You;Jung Kook;https://www.youtube.com/watch?v=UNo0TG9LwwI
Ditto;NewJeans;https://www.youtube.com/watch?v=Km71Rr9K-Bw
Used To Be Young;Miley Cyrus;https://www.youtube.com/watch?v=IZ3XMOdOdKM
Eyes Closed;Ed Sheeran;https://www.youtube.com/watch?v=u6wOyMUs74I
Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes;Olivia Rodrigo;https://www.youtube.com/watch?v=GlM6lcFbLSg
un x100to;Grupo Frontera;https://www.youtube.com/watch?v=3inw26U-os4
LALA;Myke Towers;https://www.youtube.com/watch?v=BVdngsy95mY
(It Goes Like) Nanana - Edit;Peggy Gou;https://www.youtube.com/watch?v=sCz5y84dwuA
Rush;Troye Sivan;https://www.youtube.com/watch?v=b53QJYP-lqY
BESO;ROSALÍA;https://www.youtube.com/watch?v=QXQQAsIhHMw
Sprinter;Dave;https://www.youtube.com/watch?v=pSY3i5XHHXo
All My Life (feat. J. Cole);Lil Durk;https://www.youtube.com/watch?v=Z4N8lzKNfy4
Double Fantasy (with Future);The Weeknd;https://www.youtube.com/watch?v=dMoFcvfd5t4
Search & Rescue;Drake;https://www.youtube.com/watch?v=ntp9_iznQ-0
LET GO;Central Cee;https://www.youtube.com/watch?v=BqucGvLxrEk
Tattoo;Loreen;https://www.youtube.com/watch?v=_IqI2bf9CCQ
Never Felt So Alone;Labrinth;https://www.youtube.com/watch?v=pqCVMRcj_bc
Heaven;Niall Horan;https://www.youtube.com/watch?v=s6TtwR2Dbjg
Acróstico - Milan y Sasha;Shakira;https://www.youtube.com/watch?v=PWmJhh_qTSY
Yandel 150;Yandel;https://www.youtube.com/watch?v=WHejvUhX6rk
La Jumpa;Arcángel;https://www.youtube.com/watch?v=ubbE6gyBf8k
Columbia;Quevedo;https://www.youtube.com/watch?v=QlZNGcVfeF0
Players;Coi Leray;https://www.youtube.com/watch?v=8gH6AEBwEAw
Baby Don't Hurt Me;David Guetta;https://www.youtube.com/watch?v=k3DBmAlUh1A
Mona Lisa (Spider-Man: Across the Spider-Verse);Dominic Fike;https://www.youtube.com/watch?v=XiqN3pOIVIw
Fast Car;Luke Combs;https://www.youtube.com/watch?v=Fr7oYjnt3bM
3D (feat. Jack Harlow);Jung Kook;https://www.youtube.com/watch?v=mHNCM-YALSA
Slime You Out (feat. SZA);Drake;https://www.youtube.com/watch?v=2_gLD1jarfU
Agora Hills;Doja Cat;https://www.youtube.com/watch?v=0c66ksfigtU
What It Is (Solo Version);Doechii;https://www.youtube.com/watch?v=khMkNSf2Jwg
exes;Tate McRae;https://www.youtube.com/watch?v=YXt0Nw8xWh0
QLONA;KAROL G;https://www.youtube.com/watch?v=BeUOBoSPWvA
LOVE AGAIN;The Kid LAROI;https://www.youtube.com/watch?v=BC19kwABFwc
Attention;Doja Cat;https://www.youtube.com/watch?v=nfs8NYg7yQM
The Hills;The Weeknd;https://www.youtube.com/watch?v=yzTuBuRdAyA
